ITEM #  LEVEL    PART NUMBER       DESCRIPTION                                   #USED
427     ...4     4700-00023-00     fw .203X.625X.059                                 2
428     ...4     4701-00004-00     lw #10 split                                      1
429     ...4     4410-01132-00     nut 10-32 esn                                     1
430     ..3      B-13104.1-R       flipper brkt sub assy                             1
431     ..3      A-12390           flpr stop brkt                                    1
432     ..3      FL1-11722         flipper coil-green                                1
433     ...4     16-8799-31        coil tape 1 7/8 green                             0
434     ...4     A-22588           flipper bobbin assy                               0
435     ....5    03-7565           bobbin                                            0
436     ....5    01-14673-1        terminal-coil                                     0
437     ....5    01-15016          terminal-coil .25                                 0
438     ....5    07-6688-17        rivet 5/32X1/8                                    0
439     ...4     5070-09054-00     diode-1N4004 1.0a                                 0
440     ..3      01-7695-1         brkt-solenoid                                     1
441     ..3      03-7568           bushing-flipper                                   1
442     ..3      03-7066-5         tubing-coil                                       1
443     ..3      10-364            spring-retractor                                  1
444     ..3      SW-1A-194         switch assy-make                                  1
445     ...4     06-1-20           blade-contact                                     1
446     ...4     06-2V-14          blade-contact                                     1
447     ...4     03-7007-4A        tubing-switch                                     2
448     ...4     01-916-L          "spacer-loose 1/16"""                             2
449     ...4     01-916-S          "spacer-tight 1/16"""                             2
450     ...4     5860-09374-00     cp prec met 7309fs                                1
451     ...4     5860-06244-00     cp prec met 7207FSn                               1
452     ..3      03-9878           shock deflector                                   1
453     ..3      23-6577           rubber bumper plug 5/8                            1
454     ..3      4006-01003-08     ms 6-32X1/2 p-ph-s                                2
455     ..3      01-14998          brkt-switch                                       1
456     ..3      4701-00004-00     lw #10 split                                      2
457     ..3      4006-01003-07     ms 6-32x7/16 p-ph-s                               3
458     ..3      4406-01128-00     nut 6-32 keps                                     3
459     ..3      4006-01003-04     ms 6-32X1/4 p-ph-s                                2
460     ..3      4008-01227-05     ms 8-32 X 5/16 pin head-sems                      2
461     ..3      4010-01066-06     cs 10-32 X 3/8 sh                                 2
462     .2       A-23010           bumper tgt coil assy                              1
463     ..3      01-15160          brkt-main coil mtg                                1
464     ..3      01-15161          brkt-coil lift bumper                             1
465     ..3      01-15169          brkt-switch mtg                                   1
466     ..3      01-15218          plate-switch protector                            1
467     ..3      04-12627.1        coil armature assy                                1
468     ..3      04-10911-1        brkt-3/4 coil centering                           2
469     ..3      FL1-15411         flipper coil-orange                               1
470     ..3      03-7067-6         tubing-coil                                       1
471     ..3      4408-01119-01     nut 8-32 esna/ntm                                 4
472     ..3      4410-01132-01     nut 10-32 esna/ntm                                1
473     ..3      23-6420           grommet                                           1
474     ..3      10-135            spring-plunger                                    1
475     ..3      5647-12693-06     switch sub mini micro                             1
476     ..3      4008-01227-06     ms 8-32x 3/8 pin head sems                        2
477     ..3      5070-09054-00     diode-1N4004 1.0a                                 1
478     ..3      4002-01105-07     ms 2-56x7/16 p-ph-s                               2
